Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Annotation Count Gene Total	CheckM marker set	CheckM completeness	CheckM contamination
Lactococcus_sp_nov2_DSM107391	GCF_943193185.1	GCA_943193185.1	Lactococcus ileimucosae	2941329		DSM 107391					GCF_943193185.1-RS_2025_08_06	2025-08-06	2259956		63	Contig	2022-06-10	CALPDE01	63	39.5							2164	Lactococcus	95.52	2.31
ASM343203v1	GCF_003432035.1	GCA_003432035.1	Lacrimispora amygdalina	253257		PI-S10-A1B					GCF_003432035.1-RS_2025_07_21	2025-07-21	5946122		176	Scaffold	2018-08-29	QOHO01	175	42.5							5752	Lachnospiraceae	98.68	4.05
ASM540516v1	GCF_005405165.1	GCA_005405165.1	Loigolactobacillus binensis	2559922		735-2					GCF_005405165.1-RS_2025_09_02	2025-09-02	2845990		105	Scaffold	2019-03-29	BJDN01	99	43.5							2783	Lactobacillaceae	99.23	4.55
ASM4265460v1	GCF_042654605.1	GCA_042654605.1	Enterococcus eurekensis	1159753		CCUG 61259					GCF_042654605.1-RS_2025_03_02	2025-03-02	2310425		86	Scaffold	2024-10-05	JBHSGT01	85	36.5							2302	Enterococcus	92.31	1.67
IMG-taxon 2636416028 annotated assembly	GCF_900114615.1	GCA_900114615.1	Pelosinus propionicus DSM 13327	1123291		DSM 13327					GCF_900114615.1-RS_2025_12_09	2025-12-09	5413664		136	Scaffold	2016-11-02	FOTS01	134	39							5307	Pelosinus	82.56	14.88
ASM4267720v1	GCF_042677205.1	GCA_042677205.1	Paenibacillus residui	629724		CCUG 57263					GCF_042677205.1-RS_2025_11_20	2025-11-20	5781483		135	Scaffold	2024-10-06	JBHTIU01	128	50							5179	Paenibacillus	98.36	2.3
ASM4093051v1	GCF_040930515.1	GCA_040930515.1	Streptococcus huangxiaojuni	3237239		H31					GCF_040930515.1-RS_2025_07_29	2025-07-29	2409942		53	Contig	2024-07-27	JBFQEG01	53	41.5							2327	Streptococcus	98.99	
IMG-taxon 2667527445 annotated assembly	GCF_900101075.1	GCA_900101075.1	Lacicoccus qingdaonensis	576118		CGMCC 1.8895					GCF_900101075.1-RS_2025_12_11	2025-12-11	2633620		66	Scaffold	2016-10-21	FNFY01	63	43							2807	Bacillales	98.13	0.75
ASM474552v1	GCF_004745525.1	GCA_004745525.1	Companilactobacillus suantsaicola	2487723		BCRC 81127					GCF_004745525.1-RS_2025_05_04	2025-05-04	2601643		68	Contig	2019-04-08	RKLY01	68	37							2493	Lactobacillaceae	99.13	1.39
IMG-taxon 2693429901 annotated assembly	GCF_900115765.1	GCA_900115765.1	Caldicoprobacter faecalis	937334		DSM 20678					GCF_900115765.1-RS_2025_11_20	2025-11-20	2579145		88	Scaffold	2016-11-02	FOXR01	87	45							2488	Clostridia	97.73	0.45
ASM28555v1	GCF_000285555.1	GCA_000285555.1	Kurthia massiliensis	1033739		JC30					GCF_000285555.1-RS_2025_08_06	2025-08-06	3230817		116	Scaffold	2012-07-19	CAEU01	63	39.5							3323	Planococcaceae	85.58	5.74
ASM221600v1	GCF_002216005.1	GCA_002216005.1	Natranaerobius trueperi	759412		DSM 18760					GCF_002216005.1-RS_2025_03_28	2025-03-28	2633330		127	Contig	2017-07-07	NIQC01	127	33							2794	Clostridia	98.18	0.91
ASM1421217v1	GCF_014212175.1	GCA_014212175.1	Cohnella xylanilytica	557555		DSM 25239					GCF_014212175.1-RS_2025_09_27	2025-09-27	7356379		182	Scaffold	2020-08-16	JACJVR01	180	60.5							6539	Cohnella	97.47	11.87
ASM1105815v1	GCF_011058155.1	GCA_011058155.1	Litoribacterium kuwaitense	1398745		SIJ1					GCF_011058155.1-RS_2025_09_29	2025-09-29	3863194		167	Contig	2020-03-02	JAALFC01	167	43							3957	Bacillaceae	92.29	1.67
IMG-taxon 2599185206 annotated assembly	GCF_900107485.1	GCA_900107485.1	Proteiniborus ethanoligenes	415015		DSM 21650					GCF_900107485.1-RS_2025_04_24	2025-04-24	3161504		72	Scaffold	2016-10-22	FNQE01	69	32.5							3019	Clostridiales	99.12	1.75
ASM1732961v1	GCF_017329615.1	GCA_017329615.1	Alicyclobacillus suci	2816080		VF-FSL-W10-0049					GCF_017329615.1-RS_2025_08_05	2025-08-05	3999976		288	Contig	2021-03-11	JAFMTW01	288	51.5							4191	Alicyclobacillus	97.23	6.97
ASM2434520v1	GCF_024345205.1	GCA_024345205.1	Lapidilactobacillus luobeiensis	2950371		30-1(2)					GCF_024345205.1-RS_2025_09_09	2025-09-09	2556416		63	Contig	2022-06-15	BROC01	63	46.5							2252	Lactobacillaceae	99.27	0.33
ASM1787454v1	GCF_017874545.1	GCA_017874545.1	Thermoanaerobacterium butyriciformans	1702242		DSM 101588					GCF_017874545.1-RS_2025_06_10	2025-06-10	2930587		72	Contig	2021-04-08	JAGGLT01	72	34							2997	Thermoanaerobacterium	95.28	2.24
ASM2153237v1	GCF_021532375.1	GCA_021532375.1	Paenibacillus alkaliterrae	320909		DSM 17040					GCF_021532375.1-RS_2025_12_11	2025-12-11	5647115		169	Contig	2022-01-19	JAKGAP01	169	48.5							5474	Paenibacillus	98.28	0.67
ASM299574v1	GCF_002995745.1	GCA_002995745.1	Clostridium vincentii	52704		DSM 10228					GCF_002995745.1-RS_2025_04_12	2025-04-12	3505833		100	Contig	2018-03-14	PVXQ01	100	30.5							3519	Clostridium	98.14	1.35
ASM4636547v1	GCF_046365475.1	GCA_046365475.1	Anaerococcus kampingae	3115614		ENR0874					GCF_046365475.1-RS_2025_02_16	2025-02-16	2143717		59	Contig	2024-12-30	JBGMEF01	59	35							2057	Anaerococcus	98.77	2.47
Paenibacillus dakarensis FF9	GCF_001373415.1	GCA_001373415.1	Paenibacillus dakarensis	1527293		FF9					GCF_001373415.1-RS_2025_08_20	2025-08-20	4569428		102	Contig	2015-04-09	CDSE01	102	45.5							4408	Paenibacillus	100	0.35
ASM202923v1	GCF_002029235.1	GCA_002029235.1	Clostridium oryzae	1450648		DSM 28571					GCF_002029235.1-RS_2025_04_12	2025-04-12	5074802		176	Contig	2017-03-15	MZGV01	176	33							4660	Clostridium	98.76	5.01
ASM2556706v1	GCF_025567065.1	GCA_025567065.1	Megasphaera butyrica	2981791		Sanger_24					GCF_025567065.1-RS_2025_11_22	2025-11-22	2561300		69	Scaffold	2022-10-04	JAOQKD01	55	52.5							2444	Megasphaera	97.63	2.45
ASM2792468v1	GCF_027924685.1	GCA_027924685.1	Sellimonas catena	2994035		12EGH17					GCF_027924685.1-RS_2025_02_27	2025-02-27	3677942		100	Contig	2022-11-14	BSBO01	100	45.5							3652	Lachnospiraceae	98.75	0.62
ASM3304325v1	GCF_033043255.1	GCA_033043255.1	Clostridium lamae	3044578		NGMCC 1.200840					GCF_033043255.1-RS_2025_11_22	2025-11-22	3854040		89	Contig	2023-10-25	JASCQJ01	89	28.5							3690	Clostridium	99.69	1.86
ASM1690791v1	GCF_016907915.1	GCA_016907915.1	Desulforadius tongensis	1216062		DSM 29799					GCF_016907915.1-RS_2025_03_27	2025-03-27	2575448		61	Contig	2021-02-19	JAFBCW01	61	45.5							2637	Peptococcaceae	99.67	2.04
IMG-taxon 2582580749 annotated assembly	GCF_900129285.1	GCA_900129285.1	Desulfofundulus australicus DSM 11792	1121425		DSM 11792					GCF_900129285.1-RS_2025_04_11	2025-04-11	2881643		79	Scaffold	2016-12-03	FQUW01	77	54.5							2978	Peptococcaceae	100	
ASM4797415v1	GCF_047974155.1	GCA_047974155.1	Megasphaera jansseni	3345340		WILCCON 0056					GCF_047974155.1-RS_2025_02_25	2025-02-25	2906495		132	Scaffold	2025-02-24	JBHYRR01	129	52							2726	Megasphaera	99.68	1.16
ASM309761v1	GCF_003097615.1	GCA_003097615.1	Pueribacillus theae	2171751		T8					GCF_003097615.1-RS_2025_12_02	2025-12-02	3753578		130	Contig	2018-05-08	QCZG01	130	40							3814	Bacillaceae	93.68	2.89
Oscillospiraceae_gen_nov_DSM112226	GCF_943193085.1	GCA_943193085.1	Vermiculatibacterium agrestimuris	2941519		DSM 112226					GCF_943193085.1-RS_2025_04_01	2025-04-01	2242112		59	Contig	2022-06-10	CALPCU01	59	60.5							2084	Ruminococcaceae	94.41	0.62
ASM1464289v1	GCF_014642895.1	GCA_014642895.1	Lentibacillus populi	1827502		CGMCC 1.15454					GCF_014642895.1-RS_2025_08_26	2025-08-26	4620543		138	Scaffold	2020-09-12	BMJD01	131	39.5							4707	Bacillaceae	98.71	0.97
ASM969616v1	GCF_009696165.1	GCA_009696165.1	Stecheria intestinalis	2606630		Oil+RF-744-GAM-WT-6					GCF_009696165.1-RS_2025_12_11	2025-12-11	2825469		70	Contig	2019-11-22	VUMN01	70	49.5							2700	Erysipelotrichaceae	99.37	0.04
ASM28549v1	GCF_000285495.1	GCA_000285495.1	Oceanobacillus massiliensis str. N'diop	946235		Ndiop					GCF_000285495.1-RS_2025_03_15	2025-03-15	3593561		120	Scaffold	2012-07-19	CAER01	50	40.5							3585	Oceanobacillus	70.21	10.24
ASM2218036v1	GCF_022180365.1	GCA_022180365.1	Faecalibacterium gallinarum	2903556		JCM 17207					GCF_022180365.1-RS_2025_09_09	2025-09-09	2813415		116	Contig	2022-01-06	BQKV01	116	59							2755	Faecalibacterium	80.66	8.91
ASM479354v1	GCF_004793545.1	GCA_004793545.1	Petralouisia muris	3032872		NM01_1-7b					GCF_004793545.1-RS_2024_12_16	2024-12-16	5871761		289	Contig	2019-04-14	SRYA01	289	44							6072	Lachnospiraceae	97.71	0.61
ASM1414558v1	GCF_014145585.1	GCA_014145585.1	Limosilactobacillus agrestis	2759748		WF-MT5-A					GCF_014145585.1-RS_2025_09_19	2025-09-19	1899103		76	Scaffold	2020-08-10	JACIVF01	73	38							1934	Lactobacillaceae	99.13	
ASM1487385v1	GCF_014873855.1	GCA_014873855.1	Sporosarcina limicola	34101		DSM 13886					GCF_014873855.1-RS_2025_03_28	2025-03-28	4301636		103	Scaffold	2020-10-09	JADBEL01	82	40							4298	Sporosarcina	85.56	10.07
ASM394633v1	GCF_003946335.1	GCA_003946335.1	Levilactobacillus fujinensis	2486024		218-6					GCF_003946335.1-RS_2025_11_23	2025-11-23	3007089		103	Contig	2018-12-14	RHNX01	103	47.5							2797	Lactobacillaceae	99.02	0.84
IMG-taxon 2667527408 annotated assembly	GCF_900103835.1	GCA_900103835.1	Acetanaerobacterium elongatum	258515		CGMCC 1.5012					GCF_900103835.1-RS_2025_04_12	2025-04-12	2916215		75	Scaffold	2016-10-21	FNID01	73	49							2859	Ruminococcaceae	99.38	0.31
IMG-taxon 2634166325 annotated assembly	GCF_900100185.1	GCA_900100185.1	Natribacillus halophilus	549003		DSM 21771					GCF_900100185.1-RS_2025_05_03	2025-05-03	3302411		68	Scaffold	2016-10-21	FNEN01	47	47							3487	Bacillaceae	97.42	1.34
ASM200834v1	GCF_002008345.1	GCA_002008345.1	Clostridium tepidum	1962263		IEH 97212					GCF_002008345.1-RS_2025_03_30	2025-03-30	3074397		138	Contig	2017-02-28	MRAE01	138	27							2911	Clostridium	99.38	
ASM2470191v1	GCF_024701915.1	GCA_024701915.1	Lactobacillus leichmannii	28039		JCM 1148					GCF_024701915.1-RS_2025_08_31	2025-08-31	1820371		58	Contig	2022-08-15	QOCY01	58	50							1834	Lactobacillus	99.03	0.16
ASM400990v1	GCF_004009905.1	GCA_004009905.1	Lactobacillus xujianguonis	2495899		HT111-2					GCF_004009905.1-RS_2025_05_04	2025-05-04	2215780		84	Scaffold	2019-01-09	RXIA01	81	38							2314	Lactobacillus	99.68	0.16
ASM3134407v1	GCF_031344075.1	GCA_031344075.1	Clostridium aquiflavi	3073603		5 N-1					GCF_031344075.1-RS_2025_06_23	2025-06-23	3534207		111	Contig	2023-09-11	JAVJAN01	111	27.5							3232	Clostridium	99.38	1.86
ASM812471v1	GCF_008124715.1	GCA_008124715.1	Thermosediminibacter litoriperuensis	291989		DSM 16647					GCF_008124715.1-RS_2025_05_04	2025-05-04	2344789		72	Scaffold	2019-08-29	VNHO01	68	48							2474	Clostridia	99.09	1.82
ASM273530v1	GCF_002735305.1	GCA_002735305.1	Agathobacter ruminis	1712665		JK623					GCF_002735305.1-RS_2024_12_13	2024-12-13	2858624		135	Contig	2017-10-28	PDYG01	135	43.5							2675	Lachnospiraceae	98.02	0.42
ASM1623844v1	GCF_016238445.1	GCA_016238445.1	Staphylococcus canis	2724942		H16/1A					GCF_016238445.1-RS_2025_06_17	2025-06-17	2229149		143	Contig	2020-12-21	JABANU01	143	35							2264	Staphylococcus	96.99	0.87
ASM170032v1	GCF_001700325.1	GCA_001700325.1	Caryophanon latum	33977		DSM 14151					GCF_001700325.1-RS_2025_05_02	2025-05-02	3590595		97	Contig	2016-08-05	MATO01	97	42.5							3294	Planococcaceae	85.34	6.82
ASM1483695v1	GCF_014836955.1	GCA_014836955.1	Bacillus norwichensis	2762217		Sa1BUA2					GCF_014836955.1-RS_2025_11_23	2025-11-23	4696597		127	Scaffold	2020-09-30	JACSPV01	114	40							4477	Bacillus	96.96	1.51
ASM540514v1	GCF_005405145.1	GCA_005405145.1	Paucilactobacillus kaifaensis	2559921		778-3					GCF_005405145.1-RS_2025_04_07	2025-04-07	1751927		45	Contig	2019-03-29	BJDM01	45	38							1777	Lactobacillaceae	72.63	0.22
ASM2556696v1	GCF_025566965.1	GCA_025566965.1	Blautia ammoniilytica	2981782		Sanger_23					GCF_025566965.1-RS_2025_02_28	2025-02-28	3891993		122	Scaffold	2022-10-04	JAOQJL01	92	43							3709	Blautia	92.81	3.12
ASM5120103v1	GCF_051201035.1	GCA_051201035.1	Thermoanaerobacterium thermosulfurigenes	33950		DSM 2229					GCF_051201035.1-RS_2025_07_03	2025-07-03	2415210		83	Scaffold	2025-07-03	JBPODR01	80	35							2453	Thermoanaerobacterium	98.18	1.46
ASM2556719v1	GCF_025567195.1	GCA_025567195.1	Alitiscatomonas aceti	2981724		f_CCE					GCF_025567195.1-RS_2025_02_28	2025-02-28	3399574		121	Scaffold	2022-10-04	JAOQJF01	101	52							3333	Lachnospiraceae	98.75	0.1
ASM4267820v1	GCF_042678205.1	GCA_042678205.1	Oceanobacillus luteolus	1274358		CGMCC 1.12406					GCF_042678205.1-RS_2025_03_02	2025-03-02	4181870		167	Contig	2024-10-06	JBHUDE01	167	38.5							4276	Oceanobacillus	70.42	22.69
IMG-taxon 2634166349 annotated assembly	GCF_900129815.1	GCA_900129815.1	Asaccharospora irregularis DSM 2635	1121321		DSM 2635					GCF_900129815.1-RS_2025_12_13	2025-12-13	2622699		82	Scaffold	2016-12-03	FQWX01	76	30.5							2597	Peptostreptococcaceae	99.34	
Mediterraneibacter_sp_nov_DSM111629	GCF_943193195.1	GCA_943193195.1	Mediterraneibacter agrestimuris	2941333		DSM 111629					GCF_943193195.1-RS_2025_12_13	2025-12-13	4042800		120	Contig	2022-06-10	CALPDG01	120	42							3883	Lachnospiraceae	97.29	2.66
ASM394616v1	GCF_003946165.1	GCA_003946165.1	Lacticaseibacillus baoqingensis	2486013		47-3					GCF_003946165.1-RS_2025_03_27	2025-03-27	2864583		82	Contig	2018-12-14	RHOI01	82	51							2801	Lactobacillaceae	99.23	1.61
ASM4586274v1	GCF_045862745.1	GCA_045862745.1	Furfurilactobacillus entadae	2922307		OKN36					GCF_045862745.1-RS_2025_12_11	2025-12-11	2257647		92	Scaffold	2024-09-28	BQXN01	74	47							2364	Lactobacillaceae	98.58	
ASM1420183v1	GCF_014201835.1	GCA_014201835.1	Pectinatus brassicae	862415		DSM 24661					GCF_014201835.1-RS_2025_09_26	2025-09-26	2849197		91	Scaffold	2020-08-14	JACHFH01	90	36							2805	Selenomonadales	99.8	
ASM3397186v1	GCF_033971865.1	GCA_033971865.1	Grylomicrobium aquisgranensis	2926318		CLA-KB-P133					GCF_033971865.1-RS_2025_09_22	2025-09-22	2389689		85	Contig	2023-11-28	JALBUR01	85	47.5							2317	Erysipelotrichaceae	98.74	0.65
ASM4265622v1	GCF_042656225.1	GCA_042656225.1	Streptococcus caledonicus	2614158		CCUG 73951					GCF_042656225.1-RS_2025_03_02	2025-03-02	2385748		75	Scaffold	2024-10-06	JBHSOJ01	33	38.5							2357	Streptococcus	99.89	0.39
ASM2104479v1	GCF_021044795.1	GCA_021044795.1	Acidaminococcus hominis	2897706		NSJ-142					GCF_021044795.1-RS_2025_03_29	2025-03-29	2631693		116	Contig	2021-12-05	JAJNOP01	116	53							2367	Acidaminococcus	92.39	11.73
Lachnospiraceae_gen_nov3_DSM111139	GCF_943193015.1	GCA_943193015.1	Hominisplanchenecus murintestinalis	2941517		DSM 111139					GCF_943193015.1-RS_2025_02_27	2025-02-27	3320873		126	Contig	2022-06-10	CALPCM01	126	46							3078	Lachnospiraceae	97.5	0.28
ASM3698559v1	GCF_036985595.1	GCA_036985595.1	Vallitalea maricola	3074433		AN17-2					GCF_036985595.1-RS_2025_04_14	2025-04-14	5411386		486	Contig	2023-11-23	BTPU01	486	31							4956	Clostridia	98.64	3.33
ASM193662v1	GCF_001936625.1	GCA_001936625.1	Domibacillus antri	1714264		XD80					GCF_001936625.1-RS_2025_05_03	2025-05-03	3191515		79	Contig	2017-01-05	MSDU01	79	44							3383	Bacillaceae	97.73	
ASM2068698v1	GCF_020686985.1	GCA_020686985.1	Brotaphodocola catenula	2885361		CLA-AA-H274					GCF_020686985.1-RS_2025_12_13	2025-12-13	3322202		112	Contig	2021-10-31	JAJEPU01	112	47							2956	Lachnospiraceae	97.51	0.62
ASM2785323v1	GCF_027853235.1	GCA_027853235.1	Aliibacillus thermotolerans	1834418		BM62					GCF_027853235.1-RS_2025_12_13	2025-12-13	2786800		111	Scaffold	2023-01-14	WKJG01	108	40							2907	Bacillaceae	94.91	0.74
ASM4265866v1	GCF_042658665.1	GCA_042658665.1	Marinicrinis lubricantis	2086470		CCM 8749					GCF_042658665.1-RS_2025_11_20	2025-11-20	4766916		187	Contig	2024-10-06	JBHSQV01	187	46.5							4545	Paenibacillaceae	96.84	0.95
ASM967480v1	GCF_009674805.1	GCA_009674805.1	Metabacillus lacus	1983721		KCTC 33946					GCF_009674805.1-RS_2025_05_05	2025-05-05	4105380		138	Contig	2019-11-19	WKKI01	138	41.5							4153	Bacillaceae	99.19	
ASM1017973v1	GCF_010179735.1	GCA_010179735.1	Anaerotalea alkaliphila	2662126		F-3ap					GCF_010179735.1-RS_2024_05_05	2024-05-05	2980040		94	Contig	2020-02-04	JAAEEH01	94	57							2868	Clostridiales	98.25	0.88
ASM1483642v1	GCF_014836425.1	GCA_014836425.1	Limosilactobacillus avistercoris	2762243		Sa3CUN2					GCF_014836425.1-RS_2025_11_23	2025-11-23	1801657		60	Scaffold	2020-09-30	JACSQW01	56	40							1827	Lactobacillaceae	99.35	
ASM200634v1	GCF_002006345.1	GCA_002006345.1	Clostridium puniceum	29367		DSM 2619					GCF_002006345.1-RS_2025_04_12	2025-04-12	6082167		245	Contig	2017-02-23	LZZM01	245	28.5							5554	Clostridium	98.76	0.93
ASM540510v1	GCF_005405105.1	GCA_005405105.1	Lactiplantibacillus dongliensis	2559919		218-3					GCF_005405105.1-RS_2025_04_07	2025-04-07	3107413		71	Contig	2019-03-29	BJDK01	71	44.5							2911	Lactobacillaceae	99.02	2.04
IMG-taxon 2599185232 annotated assembly	GCF_900108045.1	GCA_900108045.1	Caloramator fervidus	29344		DSM 5463					GCF_900108045.1-RS_2025_04_12	2025-04-12	1763241		46	Contig	2016-10-24	FNUK01	46	30.5							1885	Clostridiaceae	99.44	1.31
ASM4265292v1	GCF_042652925.1	GCA_042652925.1	Effusibacillus consociatus	1117041		CCUG 53762					GCF_042652925.1-RS_2025_03_02	2025-03-02	4451235		188	Scaffold	2024-10-05	JBHSHC01	183	47.5							4778	Alicyclobacillaceae	98.82	8.81
Lactobacillus_sp_nov_DSM110155	GCF_943193025.1	GCA_943193025.1	Lactobacillus agrestimuris	2941328		DSM 110155					GCF_943193025.1-RS_2025_04_01	2025-04-01	1877841		55	Contig	2022-06-10	CALPCQ01	55	35							1768	Lactobacillus	97.53	0.16
ASM193661v1	GCF_001936615.1	GCA_001936615.1	Desulfosporosinus metallidurans	1888891		OL					GCF_001936615.1-RS_2025_05_13	2025-05-13	5292883		271	Contig	2017-01-05	MLBF01	271	43.5							5412	Desulfosporosinus	86.3	10.03
ASM3081336v1	GCF_030813365.1	GCA_030813365.1	Oikeobacillus pervagus	1325931		DSM 23947					GCF_030813365.1-RS_2025_08_20	2025-08-20	3380789		110	Contig	2023-08-18	JAUSUC01	110	37							3383	Bacillaceae	99.03	
ASM1426939v1	GCF_014269395.1	GCA_014269395.1	Megasphaera hominis	159836		NSJ-59					GCF_014269395.1-RS_2025_05_05	2025-05-05	2686332		85	Contig	2020-08-23	JACOGK01	85	50.5							2496	Megasphaera	99.63	4.51
ASM686177v1	GCF_006861775.1	GCA_006861775.1	Psychrobacillus soli	1543965		NHI-2					GCF_006861775.1-RS_2025_05_04	2025-05-04	4226526		118	Scaffold	2019-07-10	VDGG01	101	37							4217	Bacillaceae	100	2.1
ASM156241v1	GCF_001562415.1	GCA_001562415.1	Thermotalea metallivorans	520762		B2-1					GCF_001562415.1-RS_2025_12_13	2025-12-13	3094505		110	Contig	2016-02-17	LOEE01	110	40.5							3151	Clostridia	99.09	0.45
IMG-taxon 2585428176 annotated assembly	GCF_900142245.1	GCA_900142245.1	Paramaledivibacter caminithermalis DSM 15212	1121301		DSM 15212					GCF_900142245.1-RS_2025_12_13	2025-12-13	4060624		159	Scaffold	2016-12-03	FRAG01	155	30.5							3886	Clostridia	100	1.36
ASM2008949v2	GCF_020089495.2	GCA_020089495.2	Streptococcus hohhotensis	2866998		IMAU99199					GCF_020089495.2-RS_2025_03_16	2025-03-16	1984127		60	Scaffold	2023-05-07	JAIRCA02	40	40							1946	Streptococcus	99.94	
ASM143661v1	GCF_001436615.1	GCA_001436615.1	Lacticaseibacillus camelliae DSM 22697 = JCM 13995	1423730		DSM 22697					GCF_001436615.1-RS_2025_03_29	2025-03-29	2562179		116	Scaffold	2015-11-06	AYZJ01	104	55.5							2533	Lactobacillaceae	99.01	1.17
ASM159400v1	GCF_001594005.1	GCA_001594005.1	Clostridium tepidiprofundi DSM 19306	1121338		DSM 19306					GCF_001594005.1-RS_2025_04_12	2025-04-12	3060113		175	Contig	2016-03-18	LTBA01	175	29.5							2937	Clostridium	97.83	0.28
G1	GCF_000513275.1	GCA_000513275.1	Paenibacillus gorillae	1243662					G1		GCF_000513275.1-RS_2025_03_21	2025-03-21	6257966		167	Contig	2013-11-29	CBVJ01	167	49							5816	Paenibacillus	97.82	0.65
IMG-taxon 2585428086 annotated assembly	GCF_900142025.1	GCA_900142025.1	Desulfofundulus thermosubterraneus DSM 16057	1121432		DSM 16057					GCF_900142025.1-RS_2025_08_07	2025-08-07	3413166		101	Scaffold	2016-12-03	FQZM01	98	55							3517	Peptococcaceae	100	0.44
ASM128059v1	GCF_001280595.1	GCA_001280595.1	Paenibacillus xylanivorans	1705561		A59					GCF_001280595.1-RS_2025_12_11	2025-12-11	7087286		272	Scaffold	2015-09-09	LITU01	83	46							6521	Paenibacillus	98.61	1.22
ASM394601v1	GCF_003946015.1	GCA_003946015.1	Companilactobacillus insicii	1732567		DSM 29801					GCF_003946015.1-RS_2025_05_04	2025-05-04	2536116		73	Contig	2018-12-14	RHNU01	73	35							2458	Lactobacillaceae	99.13	0.08
ASM1813838v1	GCF_018138385.1	GCA_018138385.1	Allobacillus saliphilus	2912308		SKP8-2					GCF_018138385.1-RS_2025_03_13	2025-03-13	2543747		80	Contig	2021-04-24	JAGSIE01	80	39							2641	Bacillaceae	96.24	3.01
ASM540524v1	GCF_005405245.1	GCA_005405245.1	Enterococcus nangangensis	2559926		Feb-94					GCF_005405245.1-RS_2025_08_26	2025-08-26	1993687		54	Contig	2019-03-29	BJDR01	54	41.5							1978	Enterococcus	78.49	2.46
ASM2556744v1	GCF_025567445.1	GCA_025567445.1	Diplocloster agilis	2850323		Sanger_33					GCF_025567445.1-RS_2025_01_26	2025-01-26	5880143		158	Scaffold	2022-10-04	JAOQKK01	121	49							5135	Lachnospiraceae	99.38	3.93
ASM1421201v1	GCF_014212015.1	GCA_014212015.1	Cohnella lubricantis	2163172		DSM 103658					GCF_014212015.1-RS_2025_09_27	2025-09-27	4469270		126	Scaffold	2020-08-16	JACJVN01	119	57							4296	Cohnella	92.23	4.24
ASM143433v1	GCF_001434335.1	GCA_001434335.1	Lactobacillus kalixensis DSM 16043	1423763		DSM 16043					GCF_001434335.1-RS_2025_03_28	2025-03-28	2078190		113	Scaffold	2015-11-06	AZFM01	108	36							2018	Lactobacillus	99.03	0.81
IMG-taxon 2654587900 annotated assembly	GCF_900113125.1	GCA_900113125.1	Halobacillus alkaliphilus	396056		FP5					GCF_900113125.1-RS_2025_05_03	2025-05-03	4092525		103	Scaffold	2016-11-02	FOOG01	93	41.5							4101	Halobacillus	96.12	3.9
IMG-taxon 2585428141 annotated assembly	GCF_900167335.1	GCA_900167335.1	Pilibacter termitis	263852		ATCC BAA-1030					GCF_900167335.1-RS_2025_12_09	2025-12-09	2794241		86	Scaffold	2017-03-04	FUXI01	59	38							2762	Enterococcaceae	93.2	2.87
ASM51820v1	GCF_000518205.1	GCA_000518205.1	Hutsoniella sourekii ATCC 700629	1408438		ATCC 700629					GCF_000518205.1-RS_2025_12_10	2025-12-10	2067037		52	Scaffold	2014-01-13	JADD01	48	41.5							2024	Aerococcaceae	98.97	
IMG-taxon 2582581273 annotated assembly	GCF_900129085.1	GCA_900129085.1	Atopostipes suicloacalis DSM 15692	1121025		DSM 15692					GCF_900129085.1-RS_2025_12_09	2025-12-09	2124342		56	Scaffold	2016-12-03	FQUF01	51	35.5							2016	Carnobacteriaceae	98.08	2.27
ASM901727v1	GCF_009017275.1	GCA_009017275.1	Alkaliphilus pronyensis	1482732		LacV					GCF_009017275.1-RS_2025_12_13	2025-12-13	3061315		94	Contig	2019-10-12	WBZC01	94	34							3063	Alkaliphilus	76.47	8.54
GTMas1.0	GCF_000498995.1	GCA_000498995.1	Geobacillus thermopakistaniensis	1408282		MAS1					GCF_000498995.1-RS_2025_08_20	2025-08-20	3497407		129	Scaffold	2013-11-25	AYSF01	121	52							3739	Geobacillus	96.82	0.22
ASM156242v1	GCF_001562425.1	GCA_001562425.1	Fervidicola ferrireducens	520764		Y170					GCF_001562425.1-RS_2025_05_02	2025-05-02	2439065		107	Contig	2016-02-17	LOED01	107	46							2593	Clostridia	98.18	0.91
IMG-taxon 2654588109 annotated assembly	GCF_900111865.1	GCA_900111865.1	Parageobacillus thermantarcticus	186116		M1					GCF_900111865.1-RS_2025_04_22	2025-04-22	3448881		110	Scaffold	2016-11-02	FOJS01	106	43.5							3716	Bacillales	99.25	
ASM1483020v1	GCF_014830205.1	GCA_014830205.1	Limosilactobacillus walteri	2268022		M31					GCF_014830205.1-RS_2025_07_29	2025-07-29	2234040		75	Contig	2020-09-30	QORN01	75	39							2206	Lactobacillaceae	99.35	0.65
